id,id_a,id_b,durasi
210,3,12,743
211,3,13,844
212,3,14,789
213,3,15,126
214,3,16,1181
215,3,17,157
216,3,18,596
217,3,19,258
218,3,20,859
219,3,21,847
220,3,22,799
221,3,23,277
222,3,24,1516
223,3,25,994
224,3,26,1477
225,3,27,2873
226,3,28,942
227,3,29,3826
228,3,30,1496
229,3,31,3410
230,3,32,581
231,3,33,961
232,3,34,2915
233,3,35,174
234,3,36,376
235,3,37,3885
236,3,38,3818
237,3,39,3501
238,3,40,1388
239,3,41,3759
240,3,42,2361
241,3,43,2717
242,3,44,836
243,3,45,2720
244,3,46,480
245,3,47,1194
246,3,48,612
247,3,49,1526
248,3,50,456
249,3,51,3521
250,3,52,499
251,3,53,699
252,3,54,2157
253,3,55,2509
254,3,56,2188
255,3,57,1388
256,3,58,7786
257,3,59,2072
258,3,60,409
259,3,61,587
260,3,62,4509
261,3,63,495
262,3,64,4791
263,3,65,5858
264,3,66,1432
265,3,67,524
266,3,68,190
267,3,69,432
268,3,70,506
269,3,71,2588
270,3,72,779
271,3,73,924
272,3,74,1189
273,3,75,2228
274,3,76,1025
275,3,77,696
276,3,78,1129
277,3,79,2437
278,3,80,1252
279,3,81,464
280,3,82,453
281,3,83,1478
282,3,84,2393
283,3,85,473
284,3,86,310
285,3,87,821
286,3,88,253
287,3,89,319
288,3,90,541
289,3,91,1242
290,3,92,797
291,3,93,2387
292,3,94,1927
293,3,95,737
294,3,96,95
295,3,97,1342
296,3,98,82
297,3,99,480
298,4,1,786
299,4,2,805
300,4,3,49
301,4,4,0
302,4,5,751
303,4,6,747
304,4,7,452
305,4,8,415
306,4,9,414
307,4,10,376
308,4,11,231
309,4,12,792
310,4,13,893
311,4,14,838
312,4,15,175
313,4,16,1230
314,4,17,167
315,4,18,645
316,4,19,307
317,4,20,908
318,4,21,896
319,4,22,848
320,4,23,326
321,4,24,1544
322,4,25,1043
323,4,26,1506
324,4,27,2922
325,4,28,991
326,4,29,3875
327,4,30,1525
328,4,31,3459
329,4,32,630
330,4,33,1010
331,4,34,2943
332,4,35,223
333,4,36,425
334,4,37,3934
335,4,38,3867
336,4,39,3529
337,4,40,1374
338,4,41,3808
339,4,42,2410
340,4,43,2766
341,4,44,884
342,4,45,2769
343,4,46,529
344,4,47,1243
345,4,48,661
346,4,49,1575
347,4,50,505
348,4,51,3570
349,4,52,548
350,4,53,748
351,4,54,2206
352,4,55,2558
353,4,56,2173
354,4,57,1374
355,4,58,7835
356,4,59,2121
357,4,60,368
358,4,61,574
359,4,62,4537
360,4,63,544
361,4,64,4819
362,4,65,5907
363,4,66,1418
364,4,67,573
365,4,68,149
366,4,69,391
367,4,70,555
368,4,71,2637
369,4,72,828
370,4,73,973
371,4,74,1217
372,4,75,2277
373,4,76,1047
374,4,77,745
375,4,78,1178
376,4,79,2486
377,4,80,1238
378,4,81,465
379,4,82,502
380,4,83,1506
381,4,84,2442
382,4,85,522
383,4,86,359
384,4,87,806
385,4,88,302
386,4,89,279
387,4,90,535
388,4,91,1291
389,4,92,846
390,4,93,2436
391,4,94,1955
392,4,95,786
393,4,96,54
394,4,97,1370
395,4,98,131
396,4,99,529
397,5,1,376
398,5,2,55
399,5,3,525
400,5,4,515
401,5,5,0
402,5,6,149
403,5,7,143
404,5,8,177
405,5,9,248
406,5,10,241
407,5,11,376
408,5,12,382
409,5,13,482
410,5,14,1238
411,5,15,452
412,5,16,1101
413,5,17,549
414,5,18,405
415,5,19,568
416,5,20,1133
417,5,21,1121
418,5,22,438
419,5,23,824
420,5,24,1516
421,5,25,1159
422,5,26,1478
423,5,27,3183
424,5,28,581
425,5,29,3559
426,5,30,1497
427,5,31,3049
428,5,32,108
429,5,33,608
430,5,34,2613
431,5,35,610
432,5,36,213
433,5,37,3618
434,5,38,3457
435,5,39,3502
436,5,40,973
437,5,41,3398
438,5,42,2526
439,5,43,3027
440,5,44,1109
441,5,45,3030
442,5,46,119
443,5,47,1130
444,5,48,1002
445,5,49,1691
446,5,50,253
447,5,51,3160
448,5,52,897
449,5,53,338
450,5,54,2322
451,5,55,2345
452,5,56,1773
453,5,57,973
454,5,58,7951
455,5,59,2236
456,5,60,255
457,5,61,510
458,5,62,4207
459,5,63,233
460,5,64,4489
461,5,65,6168
462,5,66,1017
463,5,67,786
464,5,68,492
465,5,69,278
466,5,70,204
467,5,71,2898
468,5,72,919
469,5,73,1198
470,5,74,1189
471,5,75,2064
472,5,76,647
473,5,77,147
474,5,78,767
475,5,79,2747
476,5,80,837
477,5,81,154
478,5,82,478
479,5,83,1114
480,5,84,2229
481,5,85,734
482,5,86,426
483,5,87,563
484,5,88,698
485,5,89,422
486,5,90,471
487,5,91,881
488,5,92,1246
489,5,93,2697
490,5,94,1927
491,5,95,1011
492,5,96,507
493,5,97,1342
494,5,98,629
495,5,99,734
496,6,1,503
497,6,2,522
498,6,3,432
499,6,4,422
500,6,5,467
501,6,6,0
502,6,7,50
503,6,8,83
504,6,9,154
505,6,10,148
506,6,11,282
507,6,12,509
508,6,13,610
509,6,14,1145
510,6,15,359
511,6,16,1146
512,6,17,456
513,6,18,370
514,6,19,475
515,6,20,1076
516,6,21,1064
517,6,22,565
518,6,23,731
519,6,24,1423
520,6,25,1204
521,6,26,1385
522,6,27,3089
523,6,28,708
524,6,29,3686
525,6,30,1404
526,6,31,3176
527,6,32,294
528,6,33,735
529,6,34,2716
530,6,35,517
531,6,36,120
532,6,37,3745
533,6,38,3584
534,6,39,3408
535,6,40,1076
536,6,41,3525
537,6,42,2571
538,6,43,2934
539,6,44,1052
540,6,45,2937
